ID,Texto da Súmula,Data de Aprovação
sumula 24," Funcionário interino substituto é livremente demissível, mesmo antes de cessar a causa da substituição. ",1963-12-13
sumula 25," A nomeação a têrmo não impede a livre demissão pelo Presidente da República, de ocupante de cargo dirigente de autarquia.",1963-12-13
sumula 26, Os servidores do Instituto de Aposentadoria e Pensões dos Industriários não podem acumular a sua gratificação bienal com o adicional de tempo de serviço previsto no Estatuto dos Funcionários Civis da União. ,1963-12-13
sumula 27," Os servidores públicos não têm vencimentos irredutíveis, prerrogativa dos membros do Poder Judiciário e dos que lhes são equiparados. ",1963-12-13
sumula 28," O estabelecimento bancário é responsável pelo pagamento de cheque falso, ressalvadas as hipóteses de culpa exclusiva ou concorrente do correntista. ",1963-12-13
sumula 29," Gratificação devida a servidores do ""sistema fazendário"" não se estende aos dos Tribunais de Contas. ",1963-12-13
sumula 30, Servidores de coletorias não têm direito à percentagem pela cobrança de contribuições destinadas à Petrobrás. ,1963-12-13
sumula 31," Para aplicação da L. 1741, de 22.11.52, soma-se o tempo de serviço ininterrupto em mais de um cargo em comissão. ",1963-12-13
sumula 32," Para aplicação da L. 1741, de 22.11.52, soma-se o tempo de serviço ininterrupto em cargo em comissão e em função gratificada. ",1963-12-13
sumula 33," A L. 1.741, de 22.11.52, é aplicável às autarquias federais. ",1963-12-13
sumula 34," No Estado de São Paulo, funcionário eleito vereador fica licenciado por tôda a duração do mandato. ",1963-12-13
sumula 35," Em caso de acidente do trabalho ou de transporte, a concubina tem direito de ser indenizada pela morte do amásio, se entre êles não havia impedimento para o matrimônio. ",1963-12-13
sumula 36," Servidor vitalício está sujeito à aposentadoria compulsória, em razão da idade. ",1963-12-13
sumula 37," Não tem direito de se aposentar pelo Tesouro Nacional o servidor que não satisfizer as condições estabelecidas na legislação do serviço público federal, ainda que aposentado pela respectiva instituição previdenciária, com direito, em tese, a duas aposentadorias. ",1963-12-13
sumula 38, Reclassificação posterior à aposentadoria não aproveita ao servidor aposentado. ,1963-12-13
