ID,Texto da Súmula,Data de Aprovação
sumula 39," À falta de lei, funcionário em disponibilidade não pode exigir, judicialmente, o seu aproveitamento, que fica subordinado ao critério de conveniência da administração. ",1963-12-13
sumula 40," A elevação da entrância da comarca não promove automaticamente o juiz, mas não interrompe o exercício de suas funções na mesma comarca. ",1963-12-13
sumula 41, Juízes preparadores ou substitutos não têm direito aos vencimentos da atividade fora dos períodos de exercício. ,1963-12-13
sumula 42," É legítima a equiparação de juízes do Tribunal de Contas, em direitos e garantias, aos membros do Poder Judiciário. ",1963-12-13
sumula 43," Não contraria a Constituição Federal o art. 61 da Constituição de São Paulo, que equiparou os vencimentos do Ministério Público aos da magistratura. ",1963-12-13
sumula 44," O exercício do cargo pelo prazo determinado na L. 1.341, de 30.1.51, art. 91, dá preferência para a nomeação interina de Procurador da República. ",1963-12-13
sumula 45, A estabilidade dos substitutos do Ministério Público Militar não confere direito aos vencimentos da atividade fora dos períodos de exercício. ,1963-12-13
sumula 46, Desmembramento de serventia de justiça não viola o princípio de vitaliciedade do serventuário.,1963-12-13
sumula 47, Reitor de universidade não é livremente demissível pelo Presidente da República durante o prazo de sua investidura.,1963-12-13
sumula 48, É legítimo o rodízio de docentes livres na substituição do professor catedrático.,1963-12-13
sumula 49, A cláusula de inalienabilidade inclui a incomunicabilidade dos bens. ,1963-12-13
sumula 50, A lei pode estabelecer condições para a demissão de extranumerário. ,1963-12-13
sumula 51," Militar não tem direito a mais de duas promoções na passagem para a inatividade, ainda que por motivos diversos. ",1963-12-13
sumula 52," A promoção de militar, vinculada à inatividade, pode ser feita, quando couber, a pôsto inexistente no quadro. ",1963-12-13
sumula 53," A promoção de professor militar, vinculada à sua reforma, pode ser feita, quando couber, a pôsto inexistente no quadro. ",1963-12-13
sumula 54, A reserva ativa do magistério militar não confere vantagens vinculadas à efetiva passagem para a inatividade. ,1963-12-13
sumula 55, Militar da reserva está sujeito à pena disciplinar. ,1963-12-13
sumula 56, Militar reformado não está sujeito à pena disciplinar. ,1963-12-13
sumula 57, Militar inativo não tem direito ao uso do uniforme fora dos casos previstos em lei ou regulamento. ,1963-12-13
sumula 58," É válida a exigência de média superior a quatro para aprovação em estabelecimento de ensino superior, consoante o respectivo regimento. ",1963-12-13
sumula 59," Imigrante pode trazer, sem licença prévia, automóvel que lhe pertença desde mais de seis meses antes do seu embarque para o Brasil. ",1963-12-13
sumula 60, Não pode o estrangeiro trazer automóvel quando não comprovada a transferência definitiva de sua residência para o Brasil.,1963-12-13
sumula 61," Brasileiro domiciliado no estrangeiro, que se transfere definitivamente para o Brasil, pode trazer automóvel licenciado em seu nome há mais de seis meses.",1963-12-13
sumula 62," Não basta a simples estada no estrangeiro por mais de seis meses, para dar direito à trazida de automóvel com fundamento em transferência de residência. ",1963-12-13
sumula 63," É indispensável, para trazida de automóvel, a prova do licenciamento há mais de seis meses no país de origem. ",1963-12-13
sumula 64," É permitido trazer do estrangeiro, como bagagem, objetos de uso pessoal e doméstico, desde que, por sua quantidade e natureza, não induzam finalidade comercial. ",1963-12-13
sumula 65," A cláusula de aluguel progressivo anterior à L. 3.494, de 19.12.58, continua em vigor em caso de prorrogação legal ou convencional da locação. ",1963-12-13
